file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
RES0038	14.03	14.03	0	0	0	33	34	33	34	3	3	3	3	12	12	12	12
RES0039	16.07	15.95	2	0	0	30	32	32	32	2	2	2	2	12	13	12	13
RES0042	30.11	30.11	0	0	0	38	44	38	44	9	9	9	9	6	13	6	13
RES0043	20.94	20.87	2	0	2	38	39	39	39	4	4	4	4	10	13	10	13
RES0044	23.46	23.51	2	0	0	62	66	63	66	5	6	5	6	7	10	7	10
RES0045	26.49	26.57	0	0	1	44	46	44	46	3	3	3	3	5	15	5	15
RES0046	21.59	21.47	2	0	1	50	57	52	57	2	2	2	2	16	26	16	26
RES0047	27.25	27.25	0	0	0	32	32	32	32	1	1	1	1	15	22	15	22
RES0048	25.29	25.18	1	0	0	60	70	62	70	7	7	7	7	16	28	16	28
RES0049	20.84	20.84	0	0	1	54	56	54	56	3	3	3	3	12	15	12	15
RES0050	13.69	13.69	0	0	0	39	39	39	39	2	2	2	2	8	9	8	9
RES0051	18.36	18.36	0	0	0	37	37	37	37	2	2	2	2	5	8	5	8
RES0052	35.16	35.16	0	0	0	41	50	41	50	1	1	1	1	5	7	5	7
RES0053	28.44	28.49	0	0	1	56	57	56	57	4	4	4	4	15	20	15	20
RES0054	29.65	29.65	0	0	0	49	59	49	59	6	7	6	7	37	44	37	44
RES0055	28.16	28.16	0	0	0	28	28	28	28	4	4	4	4	21	26	21	26
RES0056	31.06	31.06	0	0	0	45	45	45	45	6	7	6	7	10	14	10	14
RES0057	25.15	25.31	1	0	1	21	22	21	22	1	1	1	1	11	14	11	14
RES0058	19.86	19.93	1	0	1	43	43	43	43	1	1	1	1	10	11	10	11
RES0059	23.13	23.13	0	0	0	46	47	46	47	1	1	1	1	10	13	10	13
