subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	azure	CAR0003	1281	1259	56	95
benchmark_results_cloud_figshare-osce	azure	GAS0007	903	884	79	115
benchmark_results_cloud_figshare-osce	assemblyai	RES0216	1604	1531	101	234
benchmark_results_cloud_figshare-osce	azure	CAR0005	1292	1228	69	184
benchmark_results_cloud_figshare-osce	azure	GAS0003	1093	1036	65	168
benchmark_results_cloud_figshare-osce	azure	GAS0002	1140	1103	48	115
benchmark_results_cloud_figshare-osce	azure	GAS0004	1180	1127	78	178
benchmark_results_cloud_figshare-osce	azure	GAS0005	1599	1541	96	210
benchmark_results_cloud_figshare-osce	azure	MSK0004	1125	1096	66	111
benchmark_results_cloud_figshare-osce	azure	DER0001	1554	1485	140	269
benchmark_results_cloud_figshare-osce	azure	MSK0001	983	960	44	85
benchmark_results_cloud_figshare-osce	azure	MSK0003	1866	1810	111	217
benchmark_results_cloud_figshare-osce	azure	MSK0006	1781	1720	80	199
benchmark_results_cloud_figshare-osce	azure	MSK0007	1358	1333	57	105
benchmark_results_cloud_figshare-osce	azure	MSK0005	1513	1462	85	187
benchmark_results_cloud_figshare-osce	azure	MSK0012	1652	1600	69	172
benchmark_results_cloud_figshare-osce	azure	MSK0013	1610	1562	82	175
benchmark_results_cloud_figshare-osce	azure	MSK0008	1417	1391	104	152
benchmark_results_cloud_figshare-osce	azure	MSK0009	1572	1520	123	214
benchmark_results_cloud_figshare-osce	azure	MSK0010	1505	1473	81	139
benchmark_results_cloud_figshare-osce	azure	MSK0011	1535	1501	114	175
benchmark_results_cloud_figshare-osce	azure	MSK0018	976	940	75	139
benchmark_results_cloud_figshare-osce	azure	MSK0015	1622	1576	100	183
benchmark_results_cloud_figshare-osce	azure	MSK0017	1735	1681	95	202
benchmark_results_cloud_figshare-osce	azure	MSK0021	1745	1691	131	235
benchmark_results_cloud_figshare-osce	azure	MSK0016	2064	1999	114	242
benchmark_results_cloud_figshare-osce	azure	MSK0019	1337	1298	104	175
benchmark_results_cloud_figshare-osce	azure	MSK0027	1377	1331	112	199
benchmark_results_cloud_figshare-osce	azure	MSK0023	1229	1181	82	171
benchmark_results_cloud_figshare-osce	azure	MSK0024	1193	1162	56	113
benchmark_results_cloud_figshare-osce	azure	MSK0020	1683	1636	95	184
benchmark_results_cloud_figshare-osce	azure	MSK0022	2164	2091	113	251
benchmark_results_cloud_figshare-osce	azure	MSK0026	1365	1338	78	124
benchmark_results_cloud_figshare-osce	azure	MSK0025	1580	1511	64	200
benchmark_results_cloud_figshare-osce	azure	MSK0031	1299	1247	71	171
benchmark_results_cloud_figshare-osce	azure	MSK0034	1448	1417	107	164
benchmark_results_cloud_figshare-osce	azure	MSK0032	1198	1154	92	164
benchmark_results_cloud_figshare-osce	azure	MSK0028	1836	1785	114	212
benchmark_results_cloud_figshare-osce	azure	MSK0029	2268	2186	152	306
benchmark_results_cloud_figshare-osce	azure	MSK0035	1596	1549	110	192
benchmark_results_cloud_figshare-osce	azure	MSK0033	1687	1621	102	229
benchmark_results_cloud_figshare-osce	azure	MSK0041	1583	1543	93	169
benchmark_results_cloud_figshare-osce	azure	MSK0038	1895	1828	118	250
benchmark_results_cloud_figshare-osce	azure	MSK0039	1404	1367	56	129
benchmark_results_cloud_figshare-osce	azure	MSK0036	1757	1714	118	202
benchmark_results_cloud_figshare-osce	azure	MSK0040	1488	1446	102	179
benchmark_results_cloud_figshare-osce	azure	MSK0037	1682	1620	112	232
benchmark_results_cloud_figshare-osce	azure	MSK0042	1522	1471	140	239
benchmark_results_cloud_figshare-osce	azure	MSK0045	1394	1354	91	166
benchmark_results_cloud_figshare-osce	azure	MSK0044	1177	1132	129	216
benchmark_results_cloud_figshare-osce	azure	MSK0050	1285	1257	61	114
benchmark_results_cloud_figshare-osce	azure	RES0001	1526	1469	96	200
benchmark_results_cloud_figshare-osce	azure	RES0006	1240	1207	82	148
benchmark_results_cloud_figshare-osce	azure	MSK0043	1772	1694	187	336
benchmark_results_cloud_figshare-osce	azure	MSK0046	1225	1188	65	138
benchmark_results_cloud_figshare-osce	azure	RES0002	1162	1144	311	344
benchmark_results_cloud_figshare-osce	azure	RES0003	1261	1213	65	157
benchmark_results_cloud_figshare-osce	azure	GEN0001	1132	1093	64	139
benchmark_results_cloud_figshare-osce	azure	MSK0049	1372	1333	89	162
benchmark_results_cloud_figshare-osce	azure	RES0004	1723	1650	126	265
benchmark_results_cloud_figshare-osce	azure	RES0005	1645	1578	91	223
benchmark_results_cloud_figshare-osce	azure	RES0008	1171	1129	67	149
benchmark_results_cloud_figshare-osce	azure	RES0009	1446	1372	95	239
benchmark_results_cloud_figshare-osce	azure	RES0010	1070	1018	85	188
benchmark_results_cloud_figshare-osce	azure	RES0007	1874	1811	118	239
benchmark_results_cloud_figshare-osce	azure	MSK0014	1575	1529	90	178
benchmark_results_cloud_figshare-osce	azure	RES0014	1429	1383	77	167
benchmark_results_cloud_figshare-osce	azure	RES0013	1400	1325	91	234
benchmark_results_cloud_figshare-osce	azure	RES0011	1647	1573	94	236
benchmark_results_cloud_figshare-osce	azure	RES0023	1099	1054	107	194
benchmark_results_cloud_figshare-osce	azure	RES0018	1334	1294	81	154
benchmark_results_cloud_figshare-osce	azure	RES0019	1334	1300	74	138
benchmark_results_cloud_figshare-osce	azure	RES0015	1607	1551	57	161
benchmark_results_cloud_figshare-osce	azure	RES0021	1255	1226	98	155
benchmark_results_cloud_figshare-osce	azure	RES0016	1327	1287	43	119
benchmark_results_cloud_figshare-osce	azure	RES0012	2168	2058	168	374
benchmark_results_cloud_figshare-osce	azure	RES0020	1413	1386	92	140
benchmark_results_cloud_figshare-osce	azure	RES0024	1004	969	76	146
benchmark_results_cloud_figshare-osce	azure	RES0017	1751	1698	99	198
benchmark_results_cloud_figshare-osce	azure	RES0028	1156	1130	65	103
benchmark_results_cloud_figshare-osce	azure	RES0029	811	787	36	78
benchmark_results_cloud_figshare-osce	azure	RES0027	1366	1323	86	167
benchmark_results_cloud_figshare-osce	azure	RES0030	1184	1158	68	114
benchmark_results_cloud_figshare-osce	azure	RES0026	1544	1504	102	182
benchmark_results_cloud_figshare-osce	azure	RES0025	1393	1342	114	202
benchmark_results_cloud_figshare-osce	azure	RES0022	1999	1927	137	265
benchmark_results_cloud_figshare-osce	azure	RES0031	1343	1297	68	156
benchmark_results_cloud_figshare-osce	azure	RES0032	1212	1169	69	139
benchmark_results_cloud_figshare-osce	azure	RES0035	958	944	30	57
benchmark_results_cloud_figshare-osce	azure	RES0036	1423	1368	77	175
benchmark_results_cloud_figshare-osce	azure	RES0042	1264	1222	110	177
benchmark_results_cloud_figshare-osce	azure	RES0038	1554	1504	92	181
benchmark_results_cloud_figshare-osce	azure	RES0033	1372	1306	71	196
benchmark_results_cloud_figshare-osce	azure	RES0039	1672	1635	111	182
benchmark_results_cloud_figshare-osce	azure	RES0034	1685	1627	79	189
benchmark_results_cloud_figshare-osce	azure	RES0037	1453	1413	99	170
benchmark_results_cloud_figshare-osce	azure	RES0043	1503	1451	140	232
benchmark_results_cloud_figshare-osce	azure	RES0052	828	809	98	136
benchmark_results_cloud_figshare-osce	azure	RES0050	1109	1084	53	103
benchmark_results_cloud_figshare-osce	azure	RES0045	1204	1158	56	142
benchmark_results_cloud_figshare-osce	azure	RES0049	1622	1555	108	242
benchmark_results_cloud_figshare-osce	azure	RES0051	997	970	92	143
benchmark_results_cloud_figshare-osce	azure	RES0044	1859	1776	97	248
benchmark_results_cloud_figshare-osce	azure	RES0046	1588	1532	76	188
benchmark_results_cloud_figshare-osce	azure	RES0048	1809	1726	78	242
benchmark_results_cloud_figshare-osce	azure	RES0047	1628	1575	119	221
benchmark_results_cloud_figshare-osce	azure	RES0057	1245	1194	216	311
benchmark_results_cloud_figshare-osce	azure	RES0053	1982	1906	317	455
benchmark_results_cloud_figshare-osce	azure	RES0058	1514	1462	178	273
benchmark_results_cloud_figshare-osce	azure	RES0055	1375	1328	193	286
benchmark_results_cloud_figshare-osce	azure	RES0060	1683	1616	226	353
benchmark_results_cloud_figshare-osce	azure	RES0059	1358	1327	162	218
benchmark_results_cloud_figshare-osce	azure	RES0067	946	912	102	159
benchmark_results_cloud_figshare-osce	azure	RES0064	1078	1046	89	145
benchmark_results_cloud_figshare-osce	azure	RES0066	1192	1160	116	177
benchmark_results_cloud_figshare-osce	azure	RES0065	1089	1064	108	157
benchmark_results_cloud_figshare-osce	azure	RES0068	1213	1168	126	200
benchmark_results_cloud_figshare-osce	azure	RES0063	1439	1384	147	254
